ID,Entry_Term,DegreeDate,DegreeEarned,DegreeMajor,DegreeGPA,HSGPA,ACTMath,ACTEnglish,Gender,Race,Citizenship,First_Gen,HomeState,EFC,FamilyIncome,FatherEdLevel,MotherEdLevel,PELL,Loan,TOPS,CampHousing,Greek,FirstSemGPA,FirstYearGPA,SecondYearGPA,SixyearCompletion,FirstYrCalcorHigherCompletion,FirstYrStEMRetention,SecondYrSTEMRetention,FirstYrEarnedCreditHours,SecondYrEarnedCreditHours,STEMDegreeCompletion
6507,Fall2013,Spring2018,BSPE,PETE  ,2.641,3.86,25,24,0,7,1,0,1,27182,114790,1,4,0,0,1,0,0,3.375,3.000,3.466,1,0,1,1,12,44,1
6676,Fall2013,Spring2017,BS,CHEM  ,3.623,3.56,31,36,1,3,1,0,1,49709,174675,4,5,0,0,1,0,0,4.000,4.000,3.887,1,1,1,1,16,47,1
6835,Fall2013,Fall2018,BS,CSC   ,2.654,3.33,25,21,1,3,1,0,0,32942,100621,4,5,0,1,1,0,0,2.600,2.162,2.566,1,0,1,1,11,36,1
6872,Fall2013,,,,,2.94,23,25,1,2,1,0,1,1849,38477,2,4,1,0,1,0,0,2.333,1.625,1.454,0,0,1,1,10,20,0
7734,Fall2013,Spring2017,BSME,ME    ,3.266,3.89,29,33,1,7,1,0,1,99999,2499,5,4,0,0,1,0,0,3.466,3.697,3.405,1,1,1,1,16,52,1
8813,Fall2013,Fall2018,BS,CSC   ,2.050,3.34,29,22,1,2,1,0,1,0,25892,4,2,1,1,1,0,0,2.200,2.320,2.132,1,1,1,1,10,38,1
8936,Fall2013,Spring2017,BS,CSC   ,3.475,3.61,34,34,0,4,0,0,1,4287,62272,4,5,0,0,0,0,0,3.666,3.806,3.666,1,1,1,1,13,45,1
9125,Fall2013,Spring2018,BSEE,EE    ,2.602,3.53,32,34,1,7,1,0,1,59735,211035,4,4,0,0,1,0,0,2.875,2.148,2.750,1,1,1,1,10,47,1
9940,Fall2013,,,,,3.14,19,20,0,2,1,0,0,0,6302,2,4,1,1,1,0,0,2.250,2.125,     ,0,0,1,0,12,12,0
11223,Fall2013,Spring2017,BA,SOCL  ,3.840,3.48,26,25,1,1,1,1,1,0,11330,1,0,1,1,1,0,0,3.666,3.633,3.678,1,1,0,0,17,43,0
11241,Fall2013,Spring2018,BSME,ME    ,3.049,3.57,28,27,1,1,1,0,1,47357,72200,4,4,0,0,1,0,0,2.625,2.740,3.050,1,1,1,1,11,43,1
11855,Fall2013,Spring2019,BIS,IS    ,2.320,3.75,28,33,1,7,1,0,1,29425,131222,4,4,0,0,1,0,0,2.400,2.392,2.754,1,1,1,1,15,40,0
12065,Fall2013,,,,,3.54,21,20,1,2,1,1,1,0,0,1,2,1,1,1,0,0,2.750,2.888,     ,0,0,0,0,15,15,0
12136,Fall2013,Fall2017,BSCHE,CHE   ,3.432,3.59,31,27,1,7,1,0,1,7398,72426,1,4,0,1,1,0,0,3.800,3.785,3.593,1,1,1,1,13,44,1
14794,Fall2013,Spring2018,BSCES,CES   ,3.625,3.65,26,28,1,1,1,0,1,15207,68512,5,5,0,0,1,0,0,3.250,3.406,3.462,1,1,0,0,16,51,0
16010,Fall2013,,,,,3.29,26,31,1,7,1,0,1,76081,196800,4,4,0,0,1,0,0,2.533,2.142,2.000,0,1,1,0,13,36,0
16430,Fall2013,,,,,4.00,26,24,0,7,1,0,1,18807,100923,4,4,0,0,1,0,0,3.642,3.833,     ,0,1,0,0,0,0,0
18251,Fall2013,,,,,3.63,23,23,0,7,1,0,1,10413,116052,4,4,0,0,1,0,0,2.833,3.148,2.960,0,0,0,0,15,39,0
18681,Fall2013,Spring2017,BS,BIOL  ,3.772,3.66,31,33,0,1,1,0,1,34373,117439,5,5,0,0,1,0,0,3.500,3.629,3.750,1,0,1,1,13,38,1
18744,Fall2013,Fall2020,BSCM,CM    ,2.603,3.35,23,20,1,3,1,0,0,881,46082,6,2,1,0,1,0,0,2.000,2.461,2.507,0,1,1,1,14,39,1
18745,Fall2013,,,,,2.89,29,31,1,7,1,0,1,99999,352255,6,6,0,0,1,0,0,2.733,1.837,1.711,0,1,1,1,3,12,0
18872,Fall2013,Spring2017,BSCHE,CHE   ,3.904,4.00,34,35,0,7,1,0,1,20834,188712,4,4,0,0,1,0,0,4.000,4.000,3.881,1,1,1,1,18,51,1
18882,Fall2013,Fall2017,BS,MGT   ,2.818,3.64,21,24,0,7,1,0,1,2396,46060,1,4,1,1,1,0,0,2.583,2.575,2.737,1,1,0,0,15,43,0
19233,Fall2013,,,,,3.30,21,24,1,2,1,1,1,0,22002,2,2,1,1,1,0,0,0.700,1.304,1.333,0,0,1,0,13,19,0
19491,Fall2013,,,,,3.64,26,32,0,1,1,1,1,5876,70850,2,1,0,1,1,0,0,2.333,2.976,2.611,0,1,0,0,13,34,0
19880,Fall2013,,,,,3.21,28,24,1,7,1,1,1,15313,79349,1,2,0,0,1,0,0,2.812,2.166,     ,0,0,0,0,5,5,0
20045,Fall2013,Spring2018,BID,ID    ,3.801,3.83,30,35,0,3,1,1,1,99999,450000,2,1,0,0,1,0,0,3.230,3.600,3.709,1,0,0,0,12,42,0
20279,Fall2013,,,,,3.87,24,22,1,7,1,1,1,2963,45000,1,2,0,0,1,0,0,3.437,2.974,2.569,0,1,1,1,14,36,0
20315,Fall2013,Spring2017,BS,BCH   ,3.885,3.72,30,32,1,7,1,1,1,37679,148317,1,1,0,0,1,0,0,4.000,4.000,3.969,1,1,1,1,16,49,1
20455,Fall2013,Spring2017,BS,KIN   ,3.271,3.72,29,32,0,7,1,0,1,32873,170500,5,5,0,1,1,0,1,4.000,3.689,3.400,1,0,0,0,16,43,0
20653,Fall2013,Fall2016,BSEE,EE    ,3.668,    ,31,29,1,2,1,0,1,8024,62618,0,4,0,0,1,0,0,4.000,3.812,3.738,1,1,1,1,19,52,1
21369,Fall2013,Spring2017,BS,BIOL  ,3.613,3.96,28,30,0,7,1,1,1,869,40073,1,0,1,0,1,0,0,4.000,4.000,3.491,1,1,1,1,16,46,1
21478,Fall2013,Spring2017,BA,LIBAR ,3.515,3.64,30,30,0,1,1,0,1,99999,995076,5,4,0,0,1,0,0,3.400,3.483,3.550,1,1,0,0,16,54,0
21508,Fall2013,Fall2017,BSIE,IE    ,2.908,3.78,24,28,1,7,1,0,1,89313,195591,4,4,0,0,1,0,0,3.727,3.222,2.825,1,1,1,1,16,49,1
21615,Fall2013,Spring2019,BSIE,IE    ,2.944,3.53,23,27,0,7,1,0,1,27745,90523,5,4,0,0,1,0,0,2.823,2.931,2.754,1,1,1,1,12,40,1
21759,Fall2013,Spring2017,BSCE,CE    ,3.413,3.93,34,30,1,7,1,0,1,25161,122070,4,4,0,0,1,0,0,3.812,3.633,3.400,1,1,1,1,14,44,1
22377,Fall2013,,,,,3.73,25,26,0,7,1,0,1,8669,59141,4,4,0,0,1,0,1,3.812,3.718,3.677,0,0,0,0,16,43,0
22611,Fall2013,Spring2017,BSPETE,PETE  ,3.059,3.45,28,24,1,7,1,0,0,          ,          ,4,1,0,0,0,0,0,3.437,3.181,3.107,1,1,1,1,17,49,1
23167,Fall2013,Spring2017,BS,BIOL  ,3.974,3.96,24,27,0,7,1,0,1,37549,230283,4,4,0,0,1,0,1,4.000,4.000,3.838,1,0,1,1,17,44,1
23383,Fall2013,Spring2017,BS,KIN   ,3.288,3.79,24,25,0,2,1,1,1,0,22855,2,1,1,1,1,0,0,3.769,3.540,3.475,1,0,0,0,15,40,0
23457,Fall2013,Spring2018,BSCM,CM    ,3.242,3.04,27,31,1,7,1,0,1,54741,206563,2,5,0,0,1,0,0,2.333,2.967,3.084,1,0,1,1,16,48,1
23629,Fall2013,Fall2017,BS,GBUS  ,2.059,3.25,29,26,1,7,1,0,1,220,24200,4,5,1,0,1,0,1,2.000,1.461,1.857,1,0,1,0,8,38,0
24108,Fall2013,Spring2018,BSPE,PETE  ,3.213,3.22,28,23,1,7,1,0,0,          ,          ,4,4,0,0,0,0,1,3.312,3.428,2.877,1,1,1,1,12,41,1
24384,Fall2013,Spring2018,BS,KIN   ,2.852,3.04,25,20,1,1,1,0,1,41660,154923,6,6,0,0,1,0,0,3.000,2.451,2.509,1,1,0,1,16,39,0
24507,Fall2013,Fall2017,BSIE,IE    ,2.800,3.41,26,21,1,2,1,0,0,1614,44122,1,4,1,1,1,0,0,2.800,2.875,2.888,1,1,1,1,19,42,1
24810,Fall2013,Spring2017,BS,ACCT  ,3.766,    ,25,33,1,7,1,1,1,99999,390254,2,2,0,0,1,0,1,3.230,3.628,3.808,1,0,0,0,22,49,0
25084,Fall2013,Spring2017,BS,KIN   ,3.792,4.00,24,32,0,7,1,0,0,          ,          ,5,5,0,0,0,0,0,3.800,3.892,3.894,1,1,0,0,14,44,0
25386,Fall2013,Spring2018,BSME,ME    ,2.909,3.61,26,28,1,7,1,0,1,18455,105634,4,4,0,1,1,0,0,1.818,2.777,2.900,1,1,1,1,11,40,1
25640,Fall2013,,,,,2.78,20,23,0,3,1,1,0,10530,69655,0,0,0,0,0,0,1,2.750,2.666,2.641,0,1,0,0,12,28,0
26117,Fall2013,,,,,2.92,22,22,0,2,1,0,1,2340,56101,4,4,1,1,1,0,0,1.750,1.875,     ,0,0,0,0,15,15,0
26121,Fall2013,Spring2017,BSENVEG,EVEG  ,3.282,3.50,24,26,1,7,1,1,1,4053,47355,1,1,1,1,1,0,0,3.600,3.586,3.300,1,1,1,1,14,45,1
26647,Fall2013,,,,,3.56,19,22,0,7,1,1,1,1086,41705,1,0,1,1,1,1,0,1.800,1.500,     ,0,0,1,0,6,6,0
27199,Fall2013,,,,,3.55,31,27,0,7,1,1,0,14080,140415,2,2,0,1,1,0,0,3.000,3.029,2.500,0,1,1,1,15,40,0
27215,Fall2013,,,,,3.12,24,23,1,7,1,1,1,10049,69389,1,6,0,0,1,0,0,1.000,0.787,     ,0,0,0,0,1,1,0
27252,Fall2013,Fall2018,BSIE,IE    ,3.031,3.15,24,27,1,7,1,0,0,          ,          ,5,4,0,0,0,0,0,3.181,2.851,2.872,1,1,1,1,16,44,1
27296,Fall2013,,,,,3.26,21,26,1,2,1,0,1,0,14463,6,6,1,1,1,0,0,2.000,1.875,2.533,0,0,1,0,12,36,0
27983,Fall2013,Spring2017,BS,ACCT  ,2.982,3.61,26,32,1,7,1,0,1,99999,229165,4,4,0,0,1,0,0,3.000,2.900,3.157,1,1,0,0,16,43,0
28017,Fall2013,Spring2017,BSENVEG,EVEG  ,3.337,3.94,26,36,0,7,1,0,1,815,40172,2,4,1,0,1,0,1,4.000,3.666,3.344,1,1,1,1,12,40,1
28088,Fall2013,Spring2017,BSCHE,CHE   ,3.543,    ,28,20,0,4,0,1,0,          ,          ,2,0,0,0,0,0,0,3.823,3.812,3.777,1,1,1,1,16,47,1
28349,Fall2013,Spring2017,BA,SOCL  ,2.730,3.19,24,25,0,2,1,0,1,0,16494,1,5,1,0,1,0,0,2.230,2.894,2.411,1,0,0,0,17,44,0
28686,Fall2013,,,,,3.58,23,33,0,7,1,0,1,13249,87244,4,2,0,1,1,0,0,3.176,1.741,     ,0,0,1,0,0,0,0
29380,Fall2013,Spring2019,BSME,ME    ,3.324,3.52,25,25,1,7,1,1,1,20148,158349,2,2,0,1,1,0,0,3.538,3.500,3.560,1,1,1,1,15,42,1
29938,Fall2013,Spring2019,BS,NFS   ,2.432,3.17,21,21,1,7,1,0,1,25220,65813,4,5,0,0,1,0,0,2.600,2.777,2.703,1,0,0,0,12,39,0
30210,Fall2013,Spring2017,BS,BIOL  ,3.721,4.00,31,28,1,1,1,1,1,0,0,1,1,1,0,1,0,0,3.800,3.729,3.728,1,1,1,1,16,49,1
31171,Fall2013,,,,,3.53,25,24,0,7,1,0,1,25223,115000,4,4,0,0,0,0,0,4.000,4.000,     ,0,1,1,0,17,17,0
31513,Fall2013,,,,,2.71,28,30,1,7,1,0,1,22734,190254,4,4,0,1,1,0,0,2.000,1.400,     ,0,1,1,0,3,3,0
31869,Fall2013,Fall2017,BS,CSC   ,3.594,3.71,30,32,1,7,1,0,1,75417,300969,4,5,0,0,1,0,0,2.937,3.225,3.403,1,1,1,1,15,46,1
32099,Fall2013,Spring2017,BA,COMD  ,3.369,3.20,21,20,0,7,1,0,1,10028,105948,4,4,0,0,1,0,0,2.750,2.900,3.126,1,0,0,0,12,41,0
32117,Fall2013,Spring2017,BS,BIOL  ,3.208,3.50,30,31,1,7,1,0,1,17769,155282,1,4,0,1,1,0,0,3.066,3.193,3.276,1,1,1,1,16,50,1
32287,Fall2013,Spring2017,BA,POLI  ,3.573,3.79,23,27,0,7,1,0,1,25970,119025,5,2,0,0,1,0,0,2.466,2.916,3.338,1,1,0,0,13,42,0
32494,Fall2013,,,,,3.50,31,30,1,7,1,0,1,38820,159383,2,4,0,0,1,0,0,2.625,2.875,2.693,0,1,1,1,17,44,0
33165,Fall2013,Fall2017,BSCE,CE    ,2.728,3.13,28,26,1,7,1,0,1,30880,127662,4,4,0,0,1,0,1,2.812,2.896,2.981,1,1,1,1,13,38,1
33754,Fall2013,Spring2017,BS,BIOL  ,3.289,3.78,27,28,0,7,1,0,1,56150,216421,4,4,0,0,1,0,1,3.066,3.142,3.111,1,1,1,1,13,40,1
34568,Fall2013,,,,,3.44,25,29,1,7,1,1,1,1750,48412,2,2,1,1,1,0,0,1.642,2.300,2.000,0,1,1,1,11,35,0
34693,Fall2013,,,,,3.52,24,23,1,6,1,1,1,3384,75767,2,2,1,1,1,0,0,1.071,1.588,1.387,0,0,0,0,0,5,0
35295,Fall2013,,,,,2.91,24,25,1,7,1,0,1,33401,143859,1,4,0,1,1,0,0,3.533,3.166,2.236,0,1,1,1,15,30,0
36121,Fall2013,,,,,3.25,22,19,1,2,1,1,1,0,0,0,2,1,1,1,1,0,0.333,0.500,     ,0,0,1,0,6,6,0
36748,Fall2013,Spring2019,BARCH,ARCH  ,2.698,3.25,25,28,1,3,0,0,1,47277,179539,4,4,0,0,1,0,0,2.500,2.037,2.296,1,0,1,0,15,39,0
37342,Fall2013,,,,,3.88,22,31,1,7,1,0,1,31779,135474,0,4,0,0,1,0,0,3.250,3.250,3.250,0,0,0,0,12,36,0
37780,Fall2013,Fall2020,BA,PHIL  ,2.147,3.45,24,20,1,2,1,0,1,0,46500,6,6,1,0,1,0,0,2.500,2.138,2.194,0,1,1,1,11,37,0
38130,Fall2013,Spring2018,BS,GBUS  ,2.450,3.47,27,19,1,7,1,1,1,34332,94343,1,2,0,0,1,0,0,1.933,1.680,1.745,1,1,1,1,4,31,0
38929,Fall2013,Fall2016,BS,CSC   ,3.203,3.61,25,29,1,7,1,0,0,          ,          ,4,4,0,0,0,0,0,3.615,3.309,3.202,1,1,1,1,15,46,1
39299,Fall2013,,,,,3.31,25,26,1,7,1,0,1,39841,162240,5,4,0,0,1,0,0,3.357,3.117,3.210,0,1,1,0,14,18,0
39501,Fall2013,Spring2017,BSCHE,CHE   ,3.327,3.94,28,34,0,7,1,0,1,19472,185000,4,1,0,0,1,0,0,3.470,3.500,3.549,1,1,1,1,14,46,1
39864,Fall2013,,,,,3.58,28,28,0,6,1,0,1,7701,63977,6,6,0,1,1,0,0,3.214,2.923,2.710,0,1,1,1,17,45,0
40107,Fall2013,Fall2018,BA,SOCL  ,2.408,3.52,24,19,0,2,1,1,1,0,11869,1,1,1,1,1,0,0,1.647,2.181,1.945,1,1,0,0,13,32,0
40225,Fall2013,,,,,3.40,26,29,0,7,1,1,0,44563,162141,2,1,0,0,1,0,0,0.769,2.400,2.022,0,1,1,1,12,28,0
40304,Fall2013,Fall2017,BS,BIOL  ,2.298,3.24,27,21,1,1,1,0,1,9499,66316,5,4,0,0,1,0,0,2.611,2.677,2.838,1,1,1,1,13,47,1
40431,Fall2013,Spring2017,BS,NFS   ,3.708,3.76,29,32,0,7,1,1,1,20130,142909,0,0,0,0,1,0,0,3.800,3.903,3.734,1,0,0,0,16,49,0
40797,Fall2013,Spring2017,BSBE,BE    ,3.743,3.89,29,32,1,3,1,0,1,9123,65065,2,5,0,0,1,0,0,3.823,3.818,3.776,1,1,1,1,16,50,1
40844,Fall2013,,,,,4.00,25,26,0,7,1,1,1,658,27953,1,1,1,1,1,0,0,3.812,3.857,3.813,0,1,1,0,12,27,0
41204,Fall2013,Spring2019,BSME,ME    ,2.681,3.64,27,28,1,3,1,0,1,99999,314431,4,4,0,0,1,0,0,3.214,3.037,2.528,1,1,1,1,13,36,1
41290,Fall2013,,,,,3.91,25,25,1,7,1,0,0,1891,44377,0,4,1,0,1,0,0,0.285,0.941,     ,0,0,0,0,0,0,0
41382,Fall2013,Fall2018,BS,NREM  ,2.458,3.85,25,29,1,7,1,1,1,2229,47101,2,2,0,0,1,0,0,3.000,2.100,1.818,1,0,1,0,6,23,0
41522,Fall2013,Fall2017,BS,BIOL  ,3.577,3.97,25,33,1,7,1,1,1,0,68972,1,2,1,1,1,0,0,3.812,3.896,3.948,1,1,1,1,13,42,1
41565,Fall2013,Fall2020,BA,ECONA ,2.455,3.32,28,28,1,7,1,0,1,9072,79145,6,6,0,1,1,0,1,2.692,2.280,1.600,0,1,1,1,12,26,0
42615,Fall2013,Spring2017,BS,BIOL  ,4.059,4.00,29,32,1,7,1,0,0,32878,213880,5,4,0,0,0,0,1,4.000,4.000,4.000,1,1,1,1,16,44,1
43341,Fall2013,Spring2017,BSBE,BE    ,3.423,3.82,24,29,0,7,1,0,1,52444,175000,4,4,0,0,1,0,1,3.285,3.212,3.470,1,1,1,1,13,42,1
43435,Fall2013,Spring2017,BS,BIOL  ,3.248,3.76,25,25,0,6,1,1,1,0,12702,2,2,1,1,1,0,0,3.307,3.362,3.287,1,1,1,1,17,49,1
44281,Fall2013,Fall2017,BS,FIN   ,3.047,3.89,26,24,1,7,1,1,1,7627,78000,1,2,0,0,1,0,0,3.357,3.289,3.062,1,0,1,0,12,38,0
44965,Fall2013,,,,,3.38,27,28,1,7,1,1,0,          ,          ,2,2,0,0,0,0,1,2.444,3.038,2.795,0,1,1,1,17,40,0
45565,Fall2013,Spring2017,BAMC,MC    ,3.366,3.90,28,29,0,7,1,0,1,54479,201265,4,4,0,0,1,0,1,3.142,3.245,3.305,1,1,0,0,16,44,0
45862,Fall2013,Spring2019,BSME,ME    ,2.577,3.14,28,23,1,7,1,1,1,5864,84147,2,2,0,0,1,0,0,2.923,2.900,2.740,1,1,1,1,17,41,1
46254,Fall2013,,,,,    ,23,16,1,4,0,0,0,          ,          ,4,2,0,0,0,0,0,3.142,3.083,1.833,0,1,1,1,9,31,0
46506,Fall2013,Spring2017,BS,BIOL  ,3.686,3.28,27,32,1,7,1,0,1,25002,195163,5,4,0,0,1,0,0,3.800,3.750,3.707,1,1,1,1,17,50,1
46630,Fall2013,Spring2017,BSPETE,PETE  ,3.274,4.00,29,30,0,7,1,0,1,7925,67321,2,5,0,0,1,0,0,3.823,3.625,3.290,1,1,1,1,15,45,1
47078,Fall2013,Spring2017,BSME,ME    ,3.223,3.98,28,30,1,7,1,0,1,43680,164107,5,4,0,0,1,0,0,4.000,3.722,3.323,1,1,1,1,17,52,1
47137,Fall2013,Spring2017,BS,BIOL  ,3.320,3.92,27,28,0,7,1,1,1,0,60000,0,1,1,0,1,0,0,3.133,3.258,3.290,1,1,1,1,16,47,1
47972,Fall2013,,,,,3.63,27,31,1,7,1,1,1,9566,76910,0,0,0,1,1,0,0,1.933,2.480,     ,0,1,1,0,15,15,0
49142,Fall2013,Spring2018,BSPE,PETE  ,3.253,3.76,23,20,1,3,1,1,1,622,31557,2,0,0,0,1,0,1,3.214,3.466,3.213,1,1,1,1,16,44,1
49448,Fall2013,,,,,3.98,26,32,0,7,1,0,1,9793,76762,6,6,0,1,1,0,0,3.166,2.962,2.949,0,1,1,1,12,44,0
50377,Fall2013,,,,,4.00,26,31,1,7,1,1,1,8980,67500,0,1,0,1,1,0,0,2.642,2.642,     ,0,1,0,0,0,0,0
50610,Fall2013,Fall2017,BS,SPADM ,2.482,3.25,19,25,1,2,1,0,1,10655,95202,2,4,0,0,1,0,0,2.666,2.500,2.764,1,0,0,0,15,42,0
51165,Fall2013,,,,,3.68,28,30,1,7,1,0,1,11908,82599,4,4,0,0,1,0,0,2.666,2.565,2.219,0,1,1,1,15,34,0
51777,Fall2013,Fall2016,BS,BIOL  ,3.580,4.00,34,36,0,7,1,0,1,14196,92197,1,5,0,0,1,0,0,4.000,3.903,3.750,1,1,1,1,16,45,1
52164,Fall2013,Spring2017,BAMC,MC    ,3.475,3.36,21,25,0,7,1,0,1,          ,          ,4,4,0,0,1,0,1,3.600,3.432,3.455,1,0,0,0,16,47,0
52200,Fall2013,Fall2018,BSPE,PETE  ,3.111,3.96,31,35,1,3,1,0,1,98463,102993,5,1,0,0,1,0,1,3.812,3.464,3.322,1,1,1,1,12,43,1
52829,Fall2013,,,,,3.48,26,23,1,6,1,0,1,38435,152217,1,4,0,0,1,0,0,2.750,2.538,1.634,0,1,1,1,14,26,0
53019,Fall2013,Spring2019,BSIE,IE    ,2.403,3.68,19,24,1,7,1,0,1,2993,64165,4,5,1,1,1,0,0,0.769,2.789,2.574,1,1,1,1,14,42,1
53427,Fall2013,Spring2017,BS,KIN   ,3.196,4.00,21,25,0,7,1,0,1,48621,177679,5,5,0,0,1,0,0,2.076,3.155,3.290,1,0,0,0,12,40,0
53922,Fall2013,,,,,4.00,36,35,1,7,1,0,1,9210,151131,5,4,0,0,1,0,0,4.000,4.000,3.898,0,1,1,1,16,45,0
54698,Fall2013,Spring2017,BS,MBIO  ,3.576,3.93,27,33,0,1,1,0,1,87405,315000,4,4,0,0,1,0,0,4.000,4.000,3.861,1,1,1,1,19,50,1
54731,Fall2013,Spring2017,BS,BCH   ,3.871,3.98,30,31,0,1,1,1,1,45,21575,6,1,0,0,1,0,0,3.500,3.800,3.895,1,1,1,1,18,50,1
54753,Fall2013,Spring2017,BS,BIOL  ,3.783,3.85,29,31,0,7,1,0,1,9926,62877,4,5,0,0,1,0,1,4.000,3.866,3.803,1,0,1,1,16,46,1
54859,Fall2013,Fall2016,BS,CSC   ,3.498,3.79,35,35,1,7,1,1,1,3622,65044,2,1,1,0,1,0,0,4.000,3.774,3.590,1,1,1,1,16,46,1
55327,Fall2013,,,,,3.29,29,23,0,6,1,1,0,10,29464,2,2,1,1,1,0,0,2.333,2.038,     ,0,1,1,0,11,11,0
55447,Fall2013,,,,,3.82,26,26,1,7,1,1,1,          ,          ,0,2,0,0,1,0,0,2.357,2.571,2.109,0,1,1,1,11,31,0
55798,Fall2013,,,,,3.02,22,23,1,7,1,0,1,99999,530507,4,4,0,0,1,0,0,0.000,0.000,     ,0,0,0,0,0,0,0
56081,Fall2013,Spring2019,BS,ACCT  ,3.172,3.88,25,29,0,5,1,0,1,0,21036,6,1,0,0,1,0,0,2.357,2.172,2.720,1,1,0,0,12,33,0
56465,Fall2013,Spring2019,BSME,ME    ,2.886,3.42,34,35,1,7,1,0,1,19673,107093,4,4,0,0,1,0,0,2.600,3.129,3.245,1,1,1,1,12,42,1
56754,Fall2013,,,,,3.54,25,22,1,3,1,1,1,0,19985,2,2,1,0,1,0,0,2.250,2.705,1.877,0,1,0,0,10,10,0
56951,Fall2013,Spring2017,BS,BCH   ,3.853,4.00,27,33,0,7,1,0,1,16182,112615,4,1,0,0,1,0,0,4.000,3.966,3.934,1,1,1,1,14,45,1
57789,Fall2013,Spring2018,BSEE,EE    ,2.857,3.78,29,33,1,7,1,0,1,20004,145114,4,4,0,0,1,0,0,3.000,2.200,2.636,1,1,1,1,14,51,1
57989,Fall2013,Spring2017,BS,KIN   ,3.963,3.77,25,29,0,7,1,0,1,3668,44519,4,4,1,0,1,0,1,3.666,3.794,3.892,1,0,1,0,16,48,0
58198,Fall2013,Spring2019,BSME,ME    ,2.416,3.42,32,30,1,1,0,0,1,21654,173346,5,5,0,0,1,0,0,3.375,2.531,2.543,1,1,1,1,13,38,1
58587,Fall2013,Spring2018,BS,PHYS  ,2.939,4.00,27,33,1,7,1,1,1,33044,124815,1,1,0,0,1,0,0,3.812,3.850,3.347,1,1,1,1,16,41,1
58596,Fall2013,Spring2017,BS,MATH  ,3.326,3.85,36,36,1,1,0,0,1,23557,110256,4,4,0,0,0,0,0,3.529,3.352,3.529,1,1,1,1,17,52,1
59178,Fall2013,,,,,2.95,24,26,1,6,1,0,1,6090,69600,4,4,0,0,1,0,0,1.666,1.666,     ,0,0,0,0,0,0,0
59699,Fall2013,,,,,3.02,32,34,1,7,1,0,1,84472,252756,4,4,0,0,1,0,0,0.000,0.000,     ,0,0,1,0,0,0,0
61285,Fall2013,,,,,3.79,26,30,0,7,1,0,1,14742,102799,1,4,0,0,1,0,0,2.769,2.611,2.873,0,1,1,0,17,44,0
61652,Fall2013,,,,,3.56,26,25,1,2,1,0,1,7828,69795,1,4,0,1,1,0,0,1.727,2.352,     ,0,1,0,0,0,0,0
62843,Fall2013,Summer2018,BS,GBUS  ,2.252,3.30,28,29,1,3,1,0,1,4236,51690,4,4,1,1,1,0,0,1.200,1.384,2.338,1,0,1,0,8,50,0
63075,Fall2013,Spring2018,BS,FIN   ,3.316,3.72,35,32,0,1,1,0,1,11266,73161,5,4,0,0,1,0,0,4.000,3.527,2.984,1,1,1,1,18,48,0
63109,Fall2013,Spring2018,BS,KIN   ,2.627,    ,21,29,0,1,1,0,0,0,80,5,4,1,1,1,0,0,3.062,2.933,2.596,1,0,0,0,14,38,0
63217,Fall2013,,,,,3.62,27,26,1,7,1,0,0,44819,171757,4,5,0,1,1,0,0,3.800,3.545,     ,0,1,1,0,17,17,0
64081,Fall2013,,,,,3.19,18,22,0,1,1,0,1,60,24890,6,6,1,1,1,0,0,2.250,2.666,2.311,0,0,1,0,15,39,0
64236,Fall2013,,,,,3.52,19,21,0,7,1,1,1,99999,274498,2,2,0,0,1,0,0,2.333,2.038,2.205,0,0,1,0,14,24,0
64448,Fall2013,Fall2017,BSCM,CM    ,2.542,3.50,23,26,1,7,1,0,1,18060,180000,4,4,0,0,1,0,0,2.000,2.300,2.631,1,0,1,1,15,42,1
65159,Fall2013,Spring2018,BSPE,PETE  ,3.023,3.70,27,22,1,7,1,0,1,59997,190582,4,4,0,1,1,0,0,3.400,3.152,3.013,1,1,1,1,13,43,1
65599,Fall2013,Spring2017,BSIE,IE    ,2.969,    ,25,21,0,3,0,0,0,          ,          ,5,5,0,0,0,0,0,3.000,2.838,2.868,1,1,1,1,16,50,1
65619,Fall2013,,,,,2.81,28,28,1,2,1,1,1,0,0,0,1,1,1,1,0,0,0.214,0.656,     ,0,0,1,0,6,6,0
65709,Fall2013,Spring2017,BSCHE,CHE   ,3.335,3.89,25,21,1,2,0,0,0,          ,          ,4,4,0,0,0,0,0,3.294,3.266,3.370,1,1,1,1,14,46,1
66142,Fall2013,,,,,2.98,25,23,1,7,1,0,1,2330,48661,4,4,1,0,1,1,0,     ,     ,     ,0,0,0,0,0,0,0
66288,Fall2013,Summer2018,BSBE,BE    ,2.059,    ,  ,  ,0,4,0,1,1,          ,          ,2,1,0,0,0,0,0,1.111,2.153,2.283,1,1,1,1,11,40,1
66514,Fall2013,,,,,3.78,28,30,0,7,1,0,1,49917,307550,5,5,0,0,1,0,1,3.562,3.406,3.614,0,0,0,0,16,41,0
67504,Fall2013,,,,,3.44,24,27,1,2,1,0,1,0,17155,6,0,1,0,1,0,0,1.000,1.529,1.700,0,0,0,0,7,17,0
69529,Fall2013,Spring2017,BS,CSC   ,3.097,3.10,32,23,1,7,1,0,1,491,31604,2,5,1,0,1,0,0,3.250,2.966,2.696,1,1,1,1,18,40,1
69620,Fall2013,,,,,3.75,28,32,0,7,1,1,1,18150,106944,2,2,0,1,1,0,0,3.727,3.875,3.568,0,1,1,1,13,40,0
