ID,Entry_Term,DegreeDate,DegreeEarned,DegreeMajor,DegreeGPA,HSGPA,ACTMath,ACTEnglish,Gender,Race,Citizenship,First_Gen,HomeState,EFC,FamilyIncome,FatherEdLevel,MotherEdLevel,PELL,Loan,TOPS,CampHousing,Greek,FirstSemGPA,FirstYearGPA,SecondYearGPA,SixyearCompletion,FirstYrCalcorHigherCompletion,FirstYrStEMRetention,SecondYrSTEMRetention,FirstYrEarnedCreditHours,SecondYrEarnedCreditHours,STEMDegreeCompletion
10839,Fall2012,Spring2018,BSEVE,EVEG  ,2.921,3.76,24,25,1,7,1,0,1,53018,137309,4,4,0,0,1,0,0,2.785,2.518,2.309,1,1,1,1,27,55,1
11339,Fall2012,Spring2016,BS,CSC   ,3.701,3.72,34,35,1,1,0,0,1,          ,          ,5,5,0,0,0,0,0,3.800,3.800,3.698,1,1,1,1,30,63,1
11341,Fall2012,,,,,3.51,25,22,1,1,1,0,1,33282,126828,1,4,0,0,1,0,0,3.230,2.814,2.648,0,1,1,1,27,54,0
11555,Fall2012,Spring2016,BSCE,CE    ,3.604,3.93,30,20,0,1,0,1,1,0,21900,0,0,1,0,1,0,1,3.470,3.382,3.492,1,1,1,1,34,67,1
11778,Fall2012,Spring2016,BS,KIN   ,3.427,3.64,23,24,0,7,1,0,1,56635,150000,5,5,0,0,1,0,1,3.200,3.612,3.403,1,0,1,1,31,62,0
12291,Fall2012,,,,,3.67,29,24,1,3,1,0,0,          ,          ,4,4,0,0,0,0,0,3.800,3.810,     ,0,1,1,0,31,31,0
12559,Fall2012,,,,,    ,23,20,1,2,1,1,1,13055,79742,1,2,0,0,0,0,0,0.307,0.625,1.000,0,0,1,0,5,11,0
12563,Fall2012,,,,,3.21,20,31,1,7,1,0,1,200,15462,4,4,1,0,1,0,1,1.500,2.000,     ,0,0,0,0,9,9,0
12621,Fall2012,Spring2017,BFA,STAR  ,3.295,2.93,24,22,0,7,1,0,0,          ,          ,4,4,0,0,0,0,1,3.000,2.777,2.842,1,0,0,0,27,57,0
13186,Fall2012,Fall2018,BS,CSC   ,2.172,3.40,28,29,1,3,1,1,1,1045,35461,0,0,1,1,1,0,0,3.214,2.677,2.160,1,0,1,1,28,51,1
13286,Fall2012,Fall2015,BS,BIOL  ,3.932,4.00,25,22,0,7,1,0,1,7770,63434,1,4,0,1,1,0,0,4.000,3.960,3.976,1,1,1,1,30,64,1
